Date,Total_KW,DNI(KWH),Energy_conversion
2021-10-15,825.9424727301,6.3149999999999995,7.821233288721264
2021-10-16,724.0975235653,0.0,0.0
2021-10-17,153.1552028236,0.0,0.0
2021-10-18,569.70518102221,4.706,7.239307787956795
2021-10-19,678.3791472498,0.017,2386.285287521391
2021-10-20,559.593837873081,3.101,10.791205241989436
2021-10-21,253.02934798720003,5.914,2.5585173805782424
2021-10-22,267.82613263406,0.0,0.0
2021-10-23,123.4492805565197,0.295,25.024496186558697
2021-10-24,752.743937108957,3.076,14.633888121910395
2021-10-25,920.6969705427999,0.355,155.09120006448256
2021-10-26,137.493608602,4.506,1.824694312694285
2021-10-27,66.08780314050901,5.4079999999999995,0.7307745731589377
2021-10-28,27.12385447265,4.733,0.342699678106444
2021-10-29,21.04836969553073,6.572,0.1915224566375563
2021-10-30,114.18602158794499,6.495,1.051314324154452
2021-10-31,117.57301368311201,6.31,1.114235744643198
2021-11-01,624.59612662428,6.007,6.217852995437949
2021-11-02,776.5951070673,5.493,8.4544205319313
2021-11-03,103.137781008638,1.607,3.837962279083353
2021-11-04,75.4086036634,0.334,13.5012266386766
2021-11-05,123.134074146267,0.0,0.0
2021-11-06,103.206169381949,5.543,1.1134214296803417
2021-11-07,883.1832071153751,5.222,10.113762027602496
2021-11-08,926.9746464396001,2.537,21.849735505243874
2021-11-09,80.3279704349,0.0,0.0
2021-11-10,28.197910153391,2.118,0.7961405821204631
2021-11-11,96.30355285707,3.028,1.901889295504775
2021-11-12,39.08394887053,3.3739999999999997,0.6927111107936015
2021-11-13,22.1915843462,3.484,0.38089823339001483
2021-11-14,22.75788422962,2.222,0.6124725436113053
2021-11-15,47.2611522525,0.588,4.806464898966015
2021-11-16,67.4538865501,2.88,1.400597302164831
2021-11-17,77.2871704676,0.0,0.0
2021-11-18,35.9719017353,3.447,0.6240521881861126
2021-11-19,74.4226201556,0.782,5.691110240204267
2021-11-20,79.7138038275,4.074,1.170068544712474
2021-11-21,85.6842874201,0.0,0.0
2021-11-22,760.3432534852,1.4609999999999999,31.121339139558046
2021-11-23,499.4347061469,1.0939999999999999,27.299845671310074
2021-11-24,31.63528484468,2.8890000000000002,0.6548216091809985
2021-11-25,552.24469937628,4.038,8.178318818825877
2021-11-26,519.1570702092,3.774,8.226131968386035
2021-11-27,59.551252768338,1.278,2.7864986926817696
2021-11-28,85.216753822,2.992,1.703186447499806
2021-11-29,727.7058300506001,2.9979999999999998,14.515199898563962
2021-11-30,734.1240832372,0.0,0.0
2021-12-01,650.8431266361,3.097,12.567066487475545
2021-12-02,638.8679625051,1.159,32.962980185753054
2021-12-03,81.2943539021,2.687,1.809220552951112
2021-12-04,40.39023513833,1.538,1.5704309343282576
2021-12-05,618.5951595396,4.26,8.683518095220448
2021-12-06,646.7845309479,3.337,11.590501116098945
2021-12-07,51.55360246873481,1.2610000000000001,2.4447965676001164
2021-12-08,79.4346537495,1.5870000000000002,2.993173388976795
2021-12-09,43.9510439564,2.93,0.897016373096883
2021-12-10,67.90176677964,2.649,1.5328438356565528
2021-12-11,80.2309538491,4.13,1.1616911991187875
2021-12-12,92.0482809988,0.363,15.163793193430108
2021-12-13,66.13911583748,1.5250000000000001,2.593506474784096
2021-12-14,35.7204683763237,2.392,0.8930067978707042
2021-12-15,66.16984783589001,2.5460000000000003,1.5541771945966087
2021-12-16,76.76763439722001,2.396,1.915976330641766
