Year,Month,Day,Hour,Minute,DNI,DNI(KWH)
2019,1,14,16,30,0,0.0
2019,1,14,17,30,0,0.0
2019,1,14,18,30,0,0.0
2019,1,14,19,30,0,0.0
2019,1,14,20,30,0,0.0
2019,1,14,21,30,0,0.0
2019,1,14,22,30,0,0.0
2019,1,14,23,30,0,0.0
2019,1,15,0,30,0,0.0
2019,1,15,1,30,0,0.0
2019,1,15,2,30,0,0.0
2019,1,15,3,30,0,0.0
2019,1,15,4,30,0,0.0
2019,1,15,5,30,0,0.0
2019,1,15,6,30,0,0.0
2019,1,15,7,30,16,0.016
2019,1,15,8,30,0,0.0
2019,1,15,9,30,1,0.001
2019,1,15,10,30,43,0.043
2019,1,15,11,30,74,0.074
2019,1,15,12,30,80,0.08
2019,1,15,13,30,82,0.082
2019,1,15,14,30,18,0.018
2019,1,15,15,30,0,0.0
2019,1,15,16,30,0,0.0
2019,1,15,17,30,0,0.0
2019,1,15,18,30,0,0.0
2019,1,15,19,30,0,0.0
2019,1,15,20,30,0,0.0
2019,1,15,21,30,0,0.0
2019,1,15,22,30,0,0.0
2019,1,15,23,30,0,0.0
2019,1,16,0,30,0,0.0
2019,1,16,1,30,0,0.0
2019,1,16,2,30,0,0.0
2019,1,16,3,30,0,0.0
2019,1,16,4,30,0,0.0
2019,1,16,5,30,0,0.0
2019,1,16,6,30,0,0.0
2019,1,16,7,30,40,0.04
2019,1,16,8,30,42,0.042
2019,1,16,9,30,101,0.101
2019,1,16,10,30,237,0.237
2019,1,16,11,30,385,0.385
2019,1,16,12,30,709,0.709
2019,1,16,13,30,612,0.612
2019,1,16,14,30,204,0.204
2019,1,16,15,30,163,0.163
2019,1,16,16,30,68,0.068
2019,1,16,17,30,0,0.0
2019,1,16,18,30,0,0.0
2019,1,16,19,30,0,0.0
2019,1,16,20,30,0,0.0
2019,1,16,21,30,0,0.0
2019,1,16,22,30,0,0.0
2019,1,16,23,30,0,0.0
2019,1,17,0,30,0,0.0
2019,1,17,1,30,0,0.0
2019,1,17,2,30,0,0.0
2019,1,17,3,30,0,0.0
2019,1,17,4,30,0,0.0
2019,1,17,5,30,0,0.0
2019,1,17,6,30,0,0.0
2019,1,17,7,30,12,0.012
2019,1,17,8,30,48,0.048
2019,1,17,9,30,160,0.16
2019,1,17,10,30,75,0.075
2019,1,17,11,30,163,0.163
2019,1,17,12,30,133,0.133
2019,1,17,13,30,123,0.123
2019,1,17,14,30,17,0.017
2019,1,17,15,30,0,0.0
2019,1,17,16,30,0,0.0
2019,1,17,17,30,0,0.0
2019,1,17,18,30,0,0.0
2019,1,17,19,30,0,0.0
2019,1,17,20,30,0,0.0
2019,1,17,21,30,0,0.0
2019,1,17,22,30,0,0.0
2019,1,17,23,30,0,0.0
2019,1,18,0,30,0,0.0
2019,1,18,1,30,0,0.0
2019,1,18,2,30,0,0.0
2019,1,18,3,30,0,0.0
2019,1,18,4,30,0,0.0
2019,1,18,5,30,0,0.0
2019,1,18,6,30,0,0.0
2019,1,18,7,30,27,0.027
2019,1,18,8,30,44,0.044
2019,1,18,9,30,167,0.167
2019,1,18,10,30,646,0.646
2019,1,18,11,30,193,0.193
2019,1,18,12,30,378,0.378
2019,1,18,13,30,498,0.498
2019,1,18,14,30,92,0.092
2019,1,18,15,30,0,0.0
2019,1,18,16,30,0,0.0
2019,1,18,17,30,0,0.0
2019,1,18,18,30,0,0.0
2019,1,18,19,30,0,0.0
2019,1,18,20,30,0,0.0
2019,1,18,21,30,0,0.0
2019,1,18,22,30,0,0.0
2019,1,18,23,30,0,0.0
2019,1,19,0,30,0,0.0
2019,1,19,1,30,0,0.0
2019,1,19,2,30,0,0.0
2019,1,19,3,30,0,0.0
2019,1,19,4,30,0,0.0
2019,1,19,5,30,0,0.0
2019,1,19,6,30,0,0.0
2019,1,19,7,30,19,0.019
2019,1,19,8,30,120,0.12
2019,1,19,9,30,356,0.356
2019,1,19,10,30,547,0.547
2019,1,19,11,30,398,0.398
2019,1,19,12,30,413,0.413
2019,1,19,13,30,669,0.669
2019,1,19,14,30,518,0.518
2019,1,19,15,30,247,0.247
2019,1,19,16,30,440,0.44
2019,1,19,17,30,0,0.0
2019,1,19,18,30,0,0.0
2019,1,19,19,30,0,0.0
2019,1,19,20,30,0,0.0
2019,1,19,21,30,0,0.0
2019,1,19,22,30,0,0.0
2019,1,19,23,30,0,0.0
2019,1,20,0,30,0,0.0
2019,1,20,1,30,0,0.0
2019,1,20,2,30,0,0.0
2019,1,20,3,30,0,0.0
2019,1,20,4,30,0,0.0
2019,1,20,5,30,0,0.0
2019,1,20,6,30,0,0.0
2019,1,20,7,30,17,0.017
2019,1,20,8,30,64,0.064
2019,1,20,9,30,186,0.186
2019,1,20,10,30,601,0.601
2019,1,20,11,30,621,0.621
2019,1,20,12,30,758,0.758
2019,1,20,13,30,833,0.833
2019,1,20,14,30,516,0.516
2019,1,20,15,30,245,0.245
2019,1,20,16,30,259,0.259
2019,1,20,17,30,0,0.0
2019,1,20,18,30,0,0.0
2019,1,20,19,30,0,0.0
2019,1,20,20,30,0,0.0
2019,1,20,21,30,0,0.0
2019,1,20,22,30,0,0.0
2019,1,20,23,30,0,0.0
2019,1,21,0,30,0,0.0
2019,1,21,1,30,0,0.0
2019,1,21,2,30,0,0.0
2019,1,21,3,30,0,0.0
2019,1,21,4,30,0,0.0
2019,1,21,5,30,0,0.0
2019,1,21,6,30,0,0.0
2019,1,21,7,30,7,0.007
2019,1,21,8,30,41,0.041
2019,1,21,9,30,51,0.051
2019,1,21,10,30,5,0.005
2019,1,21,11,30,277,0.277
2019,1,21,12,30,177,0.177
2019,1,21,13,30,5,0.005
2019,1,21,14,30,36,0.036
