Date,Hour,Minute,DNI,DNI(KWH)
2011-01-11,16,30,113,0.113
2011-01-11,17,30,0,0.0
2011-01-11,18,30,0,0.0
2011-01-11,19,30,0,0.0
2011-01-11,20,30,0,0.0
2011-01-11,21,30,0,0.0
2011-01-11,22,30,0,0.0
2011-01-11,23,30,0,0.0
2011-01-12,0,30,0,0.0
2011-01-12,1,30,0,0.0
2011-01-12,2,30,0,0.0
2011-01-12,3,30,0,0.0
2011-01-12,4,30,0,0.0
2011-01-12,5,30,0,0.0
2011-01-12,6,30,0,0.0
2011-01-12,7,30,0,0.0
2011-01-12,8,30,144,0.144
2011-01-12,9,30,291,0.291
2011-01-12,10,30,77,0.077
2011-01-12,11,30,61,0.061
2011-01-12,12,30,175,0.175
2011-01-12,13,30,821,0.821
2011-01-12,14,30,764,0.764
2011-01-12,15,30,624,0.624
2011-01-12,16,30,290,0.29
2011-01-12,17,30,0,0.0
2011-01-12,18,30,0,0.0
2011-01-12,19,30,0,0.0
2011-01-12,20,30,0,0.0
2011-01-12,21,30,0,0.0
2011-01-12,22,30,0,0.0
2011-01-12,23,30,0,0.0
2011-01-13,0,30,0,0.0
2011-01-13,1,30,0,0.0
2011-01-13,2,30,0,0.0
2011-01-13,3,30,0,0.0
2011-01-13,4,30,0,0.0
2011-01-13,5,30,0,0.0
2011-01-13,6,30,0,0.0
2011-01-13,7,30,0,0.0
2011-01-13,8,30,31,0.031
2011-01-13,9,30,0,0.0
2011-01-13,10,30,0,0.0
2011-01-13,11,30,60,0.06
2011-01-13,12,30,180,0.18
2011-01-13,13,30,7,0.007
2011-01-13,14,30,0,0.0
2011-01-13,15,30,529,0.529
2011-01-13,16,30,201,0.201
2011-01-13,17,30,0,0.0
2011-01-13,18,30,0,0.0
2011-01-13,19,30,0,0.0
2011-01-13,20,30,0,0.0
2011-01-13,21,30,0,0.0
2011-01-13,22,30,0,0.0
2011-01-13,23,30,0,0.0
2011-01-14,0,30,0,0.0
2011-01-14,1,30,0,0.0
2011-01-14,2,30,0,0.0
2011-01-14,3,30,0,0.0
2011-01-14,4,30,0,0.0
2011-01-14,5,30,0,0.0
2011-01-14,6,30,0,0.0
2011-01-14,7,30,0,0.0
2011-01-14,8,30,0,0.0
2011-01-14,9,30,0,0.0
2011-01-14,10,30,59,0.059
2011-01-14,11,30,218,0.218
2011-01-14,12,30,184,0.184
2011-01-14,13,30,88,0.088
2011-01-14,14,30,83,0.083
2011-01-14,15,30,205,0.205
2011-01-14,16,30,47,0.047
2011-01-14,17,30,0,0.0
2011-01-14,18,30,0,0.0
2011-01-14,19,30,0,0.0
2011-01-14,20,30,0,0.0
2011-01-14,21,30,0,0.0
2011-01-14,22,30,0,0.0
2011-01-14,23,30,0,0.0
2011-01-15,0,30,0,0.0
2011-01-15,1,30,0,0.0
2011-01-15,2,30,0,0.0
2011-01-15,3,30,0,0.0
2011-01-15,4,30,0,0.0
2011-01-15,5,30,0,0.0
2011-01-15,6,30,0,0.0
2011-01-15,7,30,0,0.0
2011-01-15,8,30,493,0.493
2011-01-15,9,30,147,0.147
2011-01-15,10,30,32,0.032
2011-01-15,11,30,17,0.017
2011-01-15,12,30,63,0.063
2011-01-15,13,30,83,0.083
2011-01-15,14,30,83,0.083
2011-01-15,15,30,607,0.607
2011-01-15,16,30,295,0.295
2011-01-15,17,30,0,0.0
2011-01-15,18,30,0,0.0
2011-01-15,19,30,0,0.0
2011-01-15,20,30,0,0.0
2011-01-15,21,30,0,0.0
2011-01-15,22,30,0,0.0
2011-01-15,23,30,0,0.0
2011-01-16,0,30,0,0.0
